name,price,image_url
small fajita flour tortillas,$1.79*,https://production-endpoint.azureedge.net/images/68S38DHM75FJAC1GF0QJ0C0/1596fc0b-b9c6-4929-9399-f726718230b2/284669_500x500_500x500.tif.jpg
medium flour tortillas,$1.89*,https://production-endpoint.azureedge.net/images/6CSJ8D9P69FJAC1GF0QJ0C0/8372e130-10f5-438a-a99d-b4669d4ac049/394592_500x500_500x500.tif.jpg
organic coconut flour,$2.49*,https://production-endpoint.azureedge.net/images/6GO36E1J6TFJAC1GF0QJ0C0/6c25a810-1cce-4269-9186-01bd54102ac5/403837_500x500_500x500.tif.jpg
whole wheat flour,$2.99*,https://production-endpoint.azureedge.net/images/68RJ6D9I65FJAC1GF0QJ0C0/6e09ff50-bd42-4f6d-956b-0ff97a6f9137/273521_500x500_500x500.tif.jpg
all purpose flour,$1.32*,https://production-endpoint.azureedge.net/images/6GO32E9O75FJAC1GF0QJ0C0/7477a464-7fd2-4135-bab9-1dc5339bc781/401989_500x500_500x500.tif.jpg
large flour tortillas,$1.89*,https://production-endpoint.azureedge.net/images/6GO3ACHPBSQJ0C3O6KO30/f34da487-4880-4a3b-8cac-c2029c0b6de5/40529_500x500_500x500.tif.jpg
all purpose flour,$2.38*,https://production-endpoint.azureedge.net/images/6GQJ4E9IBSQJ0C3O6KO30/1d3a6978-72d4-4053-9dc2-2560a818169f/45292_500x500_500x500.tif.jpg
"La BanderitaÂ® flour tortillas, soft taco",$2.72*,https://production-endpoint.azureedge.net/images/6CSJIC1K6HFJAC1GF0QJ0C0/ec354a76-3883-4dda-a8c2-0734092bbcb2/399044_500x500_500x500.tif.jpg
Crivit floor pump,$9.99*,https://production-endpoint.azureedge.net/images/6OOJ0E1H6LFJAC1GF0QJ0C0/683374d8-aafe-499e-b451-b11693dee656/610815_500x500_500x500.tif.jpg
